"분류
기준","질병분류
코드",검별,주석,한글명칭,영문명칭
,N61,,,감염성 (급성)(아급성)(비산후기성) 유방염,Infective mastitis(acute)(subacute)(nonpuerperal)
소,N62,,,유방의 비대,Hypertrophy of breast
,N62,,,여성형유방증,Gynaecomastia
,N62,,,유방의 비대 NOS,Hypertrophy of breast NOS
,N62,,,심한 유방의 사춘기비대,Massive pubertal hypertrophy of breast
소,N63,,,유방의 상세불명의 덩이,Unspecified lump in breast
,N63,,,달리 명시되지 않은 유방의 결절,Nodule(s) NOS in breast
소,N64,,,유방의 기타 장애,Other disorders of breast
세,N64.0,,,유두의 균열 및 누공,Fissure and fistula of nipple
세,N64.1,,,유방의 지방괴사,Fat necrosis of breast
,N64.1,,,유방의 (분절성) 지방괴사,Fat necrosis (segmental) of breast
세,N64.2,,,유방의 위축,Atrophy of breast
세,N64.3,,,출산과 관련되지 않은 유루,Galactorrhoea not associated with childbirth
세,N64.4,,,유방통,Mastodynia
세,N64.5,,,유방의 기타 증상 및 징후,Other signs and symptoms in breast
,N64.5,,,유방의 경화,Induration of breast
,N64.5,,,유두분비물,Nipple discharge
,N64.5,,,유두의 함몰,Retraction of nipple
세,N64.8,,,유방의 기타 명시된 장애,Other specified disorders of breast
,N64.8,,,유류(乳廇),Galactocele
,N64.8,,,유방의 퇴축부전(산유후),Subinvolution of breast (postlactational)
세,N64.9,,,유방의 상세불명 장애,"Disorder of breast, unspecified"
소,N70,,,난관염 및 난소염,Salpingitis and oophoritis
,N70,,,감염체 분류를 원한다면 부가분류코드(B95-B98)를 사용할 것.,"Use additional code (B95-B98), if desired, to identify infectious agent."
중,N70-N77,,,여성골반내기관의 염증성 질환(N70-N77),Inflammatory diseases of female pelvic organs(N70-N77)
세,N70.0,,,급성 난관염 및 난소염,Acute salpingitis and oophoritis
세,N70.1,,,만성 난관염 및 난소염,Chronic salpingitis and oophoritis
,N70.1,,,수난관,Hydrosalpinx
세,N70.9,,,상세불명의 난관염 및 난소염,"Salpingitis and oophoritis, unspecified"
소,N71,,,자궁경부를 제외한 자궁의 염증성 질환,"Inflammatory disease of uterus, except cervix"
,N71,,,감염체 분류를 원한다면 부가분류코드(B95-B98)를 사용할 것.,"Use additional code (B95-B98), if desired, to identify infectious agent."
세,N71.0,,,자궁의 급성 염증성 질환,Acute inflammatory disease of uterus
세,N71.1,,,자궁의 만성 염증성 질환,Chronic inflammatory disease of uterus
세,N71.9,,,상세불명의 자궁의 염증성 질환,"Inflammatory disease of uterus, unspecified"
소,N72,,,자궁경부의 염증성 질환,Inflammatory disease of cervix uteri
,N72,,,미란 또는 외반을 동반하거나 동반하지 않은 자궁경부염,Cervicitis with or without erosion or ectropion
,N72,,,미란 또는 외반을 동반하거나 동반하지 않은 자궁경부내막염,Endocervicitis with or without erosion or ectropion
,N72,,,미란 또는 외반을 동반하거나 동반하지 않은 자궁경부외막염,Exocervicitis with or without erosion or ectropion
,N72,,,감염체 분류를 원한다면 부가분류코드(B95-B98)를 사용할 것.,"Use additional code (B95-B98), if desired, to identify infectious agent."
소,N73,,,기타 여성골반염증질환,Other female pelvic inflammatory diseases
,N73,,,감염체 분류를 원한다면 부가분류코드(B95-B98)를 사용할 것.,"Use additional code (B95-B98), if desired, to identify infectious agent."
세,N73.0,,,급성 자궁주위조직염 및 골반연조직염,Acute parametritis and pelvic cellulitis
,N73.0,,,급성이라고 명시된 넓은인대의 농양,Abscess of broad ligament specified as acute
,N73.0,,,급성이라고 명시된 자궁주위조직의 농양,Abscess of parametrium specified as acute
,N73.0,,,급성이라고 명시된 여성의 골반연조직염,"Pelvic cellulitis, female specified as acute"
세,N73.1,,,만성 자궁주위조직염 및 골반연조직염,Chronic parametritis and pelvic cellulitis
,N73.1,,,만성이라고 명시된 N73.0의 모든 병태,Any condition in N73.0 specified as chronic
세,N73.2,,,상세불명의 자궁주위조직염 및 골반연조직염,Unspecified parametritis and pelvic cellulitis
,N73.2,,,급성인지 만성인지 상세불명인 N73.0의 모든 병태,Any condition in N73.0 unspecified whether acute or chronic
세,N73.3,,,여성 급성 골반복막염,Female acute pelvic peritonitis
세,N73.4,,,여성 만성 골반복막염,Female chronic pelvic peritonitis
세,N73.5,,,상세불명의 여성의 골반복막염,"Female pelvic peritonitis, unspecified"
세,N73.6,,,여성골반복막유착,Female pelvic peritoneal adhesions
세,N73.8,,,기타 명시된 여성골반염증질환,Other specified female pelvic inflammatory diseases
세,N73.9,,,상세불명의 여성골반염증질환,"Female pelvic inflammatory disease, unspecified"
,N73.9,,,여성골반 감염 또는 염증 NOS,Female pelvic infection or inflammation NOS
소,N75,,,바르톨린선의 질환,Diseases of Bartholin’s gland
세,N75.0,,,바르톨린선의 낭,Cyst of Bartholin’s gland
세,N75.1,,,바르톨린선의 농양,Abscess of Bartholin’s gland
세,N75.8,,,바르톨린선의 기타 질환,Other diseases of Bartholin’s gland
,N75.8,,,바르톨린선염,Bartholinitis
세,N75.9,,,바르톨린선의 상세불명 질환,"Disease of Bartholin’s gland, unspecified"
소,N76,,,질 및 외음부의 기타 염증,Other inflammation of vagina and vulva
,N76,,,감염체 분류를 원한다면 부가분류코드(B95-B98)를 사용할 것.,"Use additional code (B95-B98), if desired, to identify infectious agent."
세,N76.0,,,급성 질염,Acute vaginitis
,N76.0,,,질염 NOS,Vaginitis NOS
,N76.0,,,외음질염 NOS,Vulvovaginitis NOS
,N76.0,,,급성 외음질염,Acute vulvovaginitis
세,N76.1,,,아급성 및 만성 질염,Subacute and chronic vaginitis
,N76.1,,,만성 외음질염,Chronic vulvovaginitis
,N76.1,,,아급성 외음질염,Subacute vulvovaginitis
세,N76.2,,,급성 외음염,Acute vulvitis
,N76.2,,,외음염 NOS,Vulvitis NOS
세,N76.3,,,아급성 및 만성 외음염,Subacute and chronic vulvitis
세,N76.4,,,외음의 농양,Abscess of vulva
,N76.4,,,외음의 종기,Furuncle of vulva
세,N76.5,,,질의 궤양,Ulceration of vagina
세,N76.6,,,외음의 궤양,Ulceration of vulva
세,N76.8,,,질 및 외음의 기타 명시된 염증,Other specified inflammation of vagina and vulva
소,N80,,,자궁내막증,Endometriosis
중,N80-N98,,,여성생식관의 비염증성 장애(N80-N98),Noninflammatory disorders of female genital tract(N80-N98)
세,N80.0,,,자궁의 자궁내막증,Endometriosis of uterus
,N80.0,,,선근증,Adenomyosis
세,N80.1,,,난소의 자궁내막증,Endometriosis of ovary
세,N80.2,,,난관의 자궁내막증,Endometriosis of fallopian tube
세,N80.3,,,골반복막의 자궁내막증,Endometriosis of pelvic peritoneum
세,N80.4,,,직장질중격 및 질의 자궁내막증,Endometriosis of rectovaginal septum and vagina
세,N80.5,,,장의 자궁내막증,Endometriosis of intestine
세,N80.6,,,피부흉터의 자궁내막증,Endometriosis in cutaneous scar
세,N80.8,,,기타 자궁내막증,Other endometriosis
,N80.8,,,흉부의 자궁내막증,Endometriosis of thorax
세,N80.9,,,상세불명의 자궁내막증,"Endometriosis, unspecified"
소,N81,,,여성생식기탈출,Female genital prolapse
세,N81.0,,,여성요도류,Female urethrocele
세,N81.1,,,방광류,Cystocele
,N81.1,,,요도류를 동반한 방광류,Cystocele with urethrocele
,N81.1,,,(전)질벽의 탈출 NOS,Prolapse of (anterior) vaginal wall NOS
세,N81.2,,,불완전자궁질탈출,Incomplete uterovaginal prolapse
,N81.2,,,자궁경부의 탈출 NOS,Prolapse of cervix NOS
,N81.2,,,1도 자궁탈출,First degree uterine prolapse
,N81.2,,,2도 자궁탈출,Second degree uterine prolapse
세,N81.3,,,완전자궁질탈출,Complete uterovaginal prolapse
,N81.3,,,전자궁탈출 NOS,Procidentia (uteri) NOS
,N81.3,,,3도 자궁탈출,Third degree uterine prolapse
세,N81.4,,,상세불명의 자궁질탈출,"Uterovaginal prolapse, unspecified"
,N81.4,,,자궁탈출 NOS,Prolapse of uterus NOS
세,N81.5,,,질탈장,Vaginal enterocele
세,N81.6,,,여성직장류,Rectocele
,N81.6,,,후질벽의 탈출,Prolapse of posterior vaginal wall
세,N81.8,,,기타 여성생식기탈출,Other female genital prolapse
,N81.8,,,회음결핍,Deficient perineum
,N81.8,,,골반바닥근육의 오래된 열상,Old laceration of muscles of pelvic floor
세,N81.9,,,상세불명의 여성생식기탈출,"Female genital prolapse, unspecified"
소,N82,,,여성생식관을 침범한 누공,Fistulae involving female genital tract
세,N82.0,,,방광질루,Vesicovaginal fistula
세,N82.1,,,기타 여성비뇨-생식관루,Other female urinary-genital tract fistulae
,N82.1,,,자궁경부방광 루(瘻),Cervicovesical fistula
,N82.1,,,요관질 루(瘻),Ureterovaginal fistula
,N82.1,,,요도질 루(瘻),Urethrovaginal fistula
,N82.1,,,자궁요관 루(瘻),Uteroureteric fistula
,N82.1,,,자궁방광 루(瘻),Uterovesical fistula
세,N82.2,,,소장으로 열린 질루,Fistula of vagina to small intestine
세,N82.3,,,대장으로 열린 질루,Fistula of vagina to large intestine
,N82.3,,,직장질루,Rectovaginal fistula
세,N82.4,,,기타 여성장-생식관루,Other female intestinal-genital tract fistulae
,N82.4,,,장자궁루,Intestinouterine fistula
,N82.4,,,교장(交腸),Intercourse between rectum and external urinary tract
세,N82.5,,,여성생식관-피부루,Female genital tract-skin fistulae
,N82.5,,,복벽으로 열린 자궁루,Uterus to abdominal wall fistula
,N82.5,,,질회음루,Vaginoperineal fistula
세,N82.8,,,기타 여성생식관루,Other female genital tract fistulae
세,N82.9,,,상세불명의 여성생식관루,"Female genital tract fistula, unspecified"
소,N83,,,"난소, 난관 및 넓은인대의 비염증성 장애","Noninflammatory disorders of ovary, fallopian tube and broad ligament"
세,N83.0,,,난소의 난포낭,Follicular cyst of ovary
,N83.0,,,그라프난포의 낭,Cyst of graafian follicle
,N83.0,,,(난소의) 출혈성 난포낭,Haemorrhagic follicular cyst (of ovary)
세,N83.1,,,황체낭,Corpus luteum cyst
,N83.1,,,출혈성 황체낭,Haemorrhagic corpus luteum cyst
세,N83.2,,,기타 및 상세불명의 난소낭,Other and unspecified ovarian cysts
,N83.2,,,난소의 단순낭,Simple cyst of ovary
,N83.2,,,난소의 저류낭,Retention cyst of ovary
세,N83.3,,,난소 및 난관의 후천성 위축,Acquired atrophy of ovary and fallopian tube
세,N83.4,,,난소 및 난관의 탈출,Prolapse and hernia of ovary and fallopian tube
세,N83.5,,,"난소, 난소경 및 난관의 염전","Torsion of ovary, ovarian pedicle and fallopian tube"
,N83.5,,,부관의 염전,Torsion of accessory tube
,N83.5,,,모르가니포충의 염전,Torsion of hydatid of Morgagni
세,N83.6,,,혈난관,Haematosalpinx
세,N83.7,,,넓은인대의 혈종,Haematoma of broad ligament
세,N83.8,,,"난소, 난관 및 넓은인대의 기타 비염증성 장애","Other noninflammatory disorders of ovary, fallopian tube and broad ligament"
,N83.8,,,넓은인대열상증후군[알렌-마스터즈],Broad ligament laceration syndrome [Allen-Masters]
세,N83.9,,,"상세불명의 난소, 난관 및 넓은인대의 비염증성 장애","Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified"
소,N84,,,여성생식관의 용종,Polyp of female genital tract
세,N84.0,,,자궁체부의 용종,Polyp of corpus uteri
,N84.0,,,자궁내막의 용종,Polyp of endometrium
,N84.0,,,자궁의 폴립 NOS,Polyp of uterus NOS
세,N84.1,,,자궁경부의 용종,Polyp of cervix uteri
,N84.1,,,자궁경부의 점액용종,Mucous polyp of cervix
세,N84.2,,,질의 용종,Polyp of vagina
세,N84.3,,,외음의 용종,Polyp of vulva
,N84.3,,,음순의 용종,Polyp of labia
세,N84.8,,,여성생식관의 기타 부분의 용종,Polyp of other parts of female genital tract
세,N84.9,,,여성생식관의 상세불명의 용종,"Polyp of female genital tract, unspecified"
소,N85,,,자궁경부를 제외한 자궁의 기타 비염증성 장애,"Other noninflammatory disorders of uterus, except cervix"
세,N85.0,,,자궁내막선증식증,Endometrial glandular hyperplasia
,N85.0,,,자궁내막의 증식증 NOS,Hyperplasia of endometrium NOS
,N85.0,,,낭성 자궁내막의 증식증,Cystic hyperplasia of endometrium
,N85.0,,,선-낭성 자궁내막의 증식증,Glandular-cystic hyperplasia of endometrium
,N85.0,,,용종모양 자궁내막의 증식증,Polypoid hyperplasia of endometrium
세,N85.1,,,자궁내막 선종성 증식증,Endometrial adenomatous hyperplasia
,N85.1,,,자궁내막의 비정형적(선종성) 증식증,"Hyperplasia of endometrium, atypical(adenomatous)"
세,N85.2,,,자궁의 비대,Hypertrophy of uterus
,N85.2,,,거대 또는 비대 자궁,Bulky or enlarged uterus
세,N85.3,,,자궁의 퇴축부전,Subinvolution of uterus
세,N85.4,,,자궁의 위치이상,Malposition of uterus
,N85.4,,,자궁의 전굴,Anteversion of uterus
,N85.4,,,자궁의 후굴,Retroflexion of uterus
,N85.4,,,자궁의 후경,Retroversion of uterus
세,N85.5,,,자궁의 내번,Inversion of uterus
세,N85.6,,,자궁내유착,Intrauterine synechiae
,N85.6,,,아셔만증후군,Asherman's syndrome
세,N85.7,,,혈자궁,Haematometra
,N85.7,,,혈자궁을 동반한 혈난관,Haematosalpinx with haematometra
세,N85.8,,,자궁의 기타 명시된 비염증성 장애,Other specified noninflammatory disorders of uterus
,N85.8,,,후천성 자궁위축,"Atrophy of uterus, acquired"
,N85.8,,,자궁의 섬유증 NOS,Fibrosis of uterus NOS
세,N85.9,,,자궁의 상세불명의 비염증성 장애,"Noninflammatory disorder of uterus, unspecified"
,N85.9,,,자궁의 장애 NOS,Disorder of uterus NOS
소,N86,,,자궁경부의 미란 및 외반,Erosion and ectropion of cervix uteri
,N86,,,자궁경부의 (영양성) 욕창궤양,Decubitus (trophic) ulcer of cervix
,N86,,,자궁경부의 외번,Eversion of cervix
소,N87,,,자궁경부의 이형성,Dysplasia of cervix uteri
세,N87.0,,,경도 자궁경부이형성,Mild cervical dysplasia
,N87.0,,,저등급 편평상피내 병변(LSIL),Low grade squamous intraepithelial lesion (LSIL)
,N87.0,,,"자궁경부상피내신생물[CIN], Ⅰ등급","Cervical intraepithelial neoplasia[CIN], grade Ⅰ"
세,N87.1,,,중등도 자궁경부이형성,Moderate cervical dysplasia
,N87.1,,,"자궁경부상피내신생물[CIN], Ⅱ등급","Cervical intraepithelial neoplasia[CIN], grade Ⅱ"
세,N87.2,,,달리 분류되지 않은 중증 자궁경부이형성,"Severe cervical dysplasia, NEC"
,N87.2,,,중증 자궁경부이형성 NOS,Severe cervical dysplasia NOS
세,N87.9,,,상세불명의 자궁경부의 이형성,"Dysplasia of cervix uteri, unspecified"
소,N88,,,자궁경부의 기타 비염증성 장애,Other noninflammatory disorders of cervix uteri
세,N88.0,,,자궁경부의 백반,Leukoplakia of cervix uteri
세,N88.1,,,자궁경부의 오래된 열상,Old laceration of cervix uteri
,N88.1,,,자궁경부의 유착,Adhesions of cervix
세,N88.2,,,자궁경부의 협착,Stricture and stenosis of cervix uteri
세,N88.3,,,자궁경부의 무력증,Incompetence of cervix uteri
,N88.3,,,임신중이 아닌 여성의 (의심되는) 자궁경부부전의 검사 및 관리,Investigation and management of (suspected) cervical incompetence in a nonpregnant woman
세,N88.4,,,자궁경부의 비대성 연장,Hypertrophic elongation of cervix uteri
세,N88.8,,,자궁경부의 기타 명시된 비염증성 장애,Other specified noninflammatory disorders of cervix uteri
세,N88.9,,,자궁경부의 상세불명의 비염증성 장애,"Noninflammatory disorder of cervix uteri, unspecified"
소,N89,,,질의 기타 비염증성 장애,Other noninflammatory disorders of vagina
세,N89.0,,,경도 질이형성,Mild vaginal dysplasia
,N89.0,,,"질의 상피내신생물[VAIN], 1등급","Vaginal intraepithelial neoplasia[VAIN], grade Ⅰ"
세,N89.1,,,중등도 질이형성,Moderate vaginal dysplasia
,N89.1,,,"질의 상피내신생물[VAIN], 2등급","Vaginal intraepithelial neoplasia[VAIN], grade Ⅱ"
세,N89.2,,,달리 분류되지 않은 중증의 질이형성,"Severe vaginal dysplasia, NEC"
,N89.2,,,중증의 질이형성 NOS,Severe vaginal dysplasia NOS
세,N89.3,,,상세불명의 질의 이형성,"Dysplasia of vagina, unspecified"
세,N89.4,,,질의 백반,Leukoplakia of vagina
세,N89.5,,,질의 폐쇄 및 협착,Stricture and atresia of vagina
,N89.5,,,질의 유착,Vaginal adhesions
,N89.5,,,질의 협착,Vaginal stenosis
세,N89.6,,,팽팽한 질입구주름고리,Tight hymenal ring
,N89.6,,,단단한 질입구주름,Rigid hymen
,N89.6,,,팽팽한 질입구,Tight introitus
세,N89.7,,,혈질(血膣),Haematocolpos
,N89.7,,,혈자궁 또는 혈난관을 동반한 혈질,Haematocolpos with haematometra or haematosalpinx
세,N89.8,,,질의 기타 명시된 비염증성 장애,Other specified noninflammatory disorders of vagina
,N89.8,,,백색질분비물 NOS,Leukorrhoea NOS
,N89.8,,,오래된 질열상,Old vaginal laceration
,N89.8,,,질의 페서리궤양,Pessary ulcer of vagina
,N89.8,,,대하(帶下),Leukorrhea disorder
세,N89.9,,,질의 상세불명의 비염증성 장애,"Noninflammatory disorder of vagina, unspecified"
,N89.9,,,음취(陰吹),Vaginal flatus disorder
소,N90,,,외음부 및 회음부의 기타 비염증성 장애,Other noninflammatory disorders of vulva and perineum
세,N90.0,,,경도 외음이형성,Mild vulvar dysplasia
,N90.0,,,"외음상피내신생물, Ⅰ등급","Vulvar intraepithelial neoplasia[VIN], grade Ⅰ"
세,N90.1,,,중등도 외음이형성,Moderate vulvar dysplasia
,N90.1,,,"외음상피내신생물, Ⅱ등급","Vulvar intraepithelial neoplasia[VIN], grade Ⅱ"
세,N90.2,,,달리 분류되지 않은 중증 외음이형성,"Severe vulvar dysplasia, NEC"
,N90.2,,,중증 외음이형성 NOS,Severe vulvar dysplasia NOS
세,N90.3,,,상세불명의 외음이형성,"Dysplasia of vulva, unspecified"
세,N90.4,,,외음의 백반,Leukoplakia of vulva
,N90.4,,,외음의 디스트로피,Dystrophy of vulva
,N90.4,,,외음의 위축증,Kraurosis of vulva
세,N90.5,,,외음의 위축,Atrophy of vulva
,N90.5,,,외음의 협착,Stenosis of vulva
세,N90.6,,,외음의 비대,Hypertrophy of vulva
,N90.6,,,음순의 비대,Hypertrophy of labia
세,N90.7,,,외음낭,Vulvar cyst
세,N90.8,,,외음 및 회음의 기타 명시된 비염증성 장애,Other specified noninflammatory disorders of vulva and perineum
,N90.8,,,외음의 유착,Adhesions of vulva
,N90.8,,,음핵의 비대,Hypertrophy of clitoris
세,N90.9,,,외음 및 회음의 상세불명의 비염증성 장애,"Noninflammatory disorder of vulva and perineum, unspecified"
소,N91,,,"무월경, 소량 및 희발 월경","Absent, scanty and rare menstruation"
세,N91.0,,,원발성 무월경,Primary amenorrhoea
,N91.0,,,사춘기때 월경 시작의 실패,Failure to start menstruation at puberty
세,N91.1,,,이차성 무월경,Secondary amenorrhoea
,N91.1,,,이전에 월경을 했던 여성의 월경결여,Absence of menstruation in a woman who had previously menstruated
세,N91.2,,,상세불명의 무월경,"Amenorrhoea, unspecified"
,N91.2,,,월경결여 NOS,Absence of menstruation NOS
세,N91.3,,,원발성 희발월경,Primary oligomenorrhoea
,N91.3,,,월경의 처음 시작부터 소량 또는 희발 월경,Menstruation which is scanty or rare from the start
세,N91.4,,,이차성 희발월경,Secondary oligomenorrhoea
,N91.4,,,이전에 정상 월경을 가진 여성의 소량 및 희발 월경,Scanty and rare menstruation in a woman with previously normal periods
세,N91.5,,,상세불명의 희발월경,"Oligomenorrhoea, unspecified"
,N91.5,,,과소월경 NOS,Hypomenorrhoea NOS
소,N92,,,"과다, 빈발 및 불규칙 월경","Excessive, frequent and irregular menstruation"
세,N92.0,,,규칙적 주기를 가진 과다 및 빈발 월경,Excessive and frequent menstruation with regular cycle
,N92.0,,,다량주기 NOS,Heavy periods NOS
,N92.0,,,월경과다 NOS,Menorrhagia NOS
,N92.0,,,빈발월경,Polymenorrhoea
세,N92.1,,,불규칙적 주기를 가진 과다 및 빈발 월경,Excessive and frequent menstruation with irregular cycle
,N92.1,,,불규칙적 월경간 출혈,Irregular intermenstrual bleeding
,N92.1,,,"월경출혈간 불규칙적인, 짧아진 간격","Irregular, shortened intervals between menstrual bleeding"
,N92.1,,,불규칙과다월경,Menometrorrhagia
,N92.1,,,부정자궁출혈,Metrorrhagia
세,N92.2,,,사춘기의 과다월경,Excessive menstruation at puberty
,N92.2,,,월경주기의 시작과 관련된 과다출혈,Excessive bleeding associated with onset of menstrual periods
,N92.2,,,사춘기월경과다,Pubertal menorrhagia
,N92.2,,,사춘기출혈,Puberty bleeding
세,N92.3,,,배란출혈,Ovulation bleeding
,N92.3,,,규칙적 월경간 출혈,Regular intermenstrual bleeding
세,N92.4,,,폐경전 시기의 과다출혈,Excessive bleeding in the premenopausal period
,N92.4,,,갱년기 월경과다 또는 부정자궁출혈,Climacteric menorrhagia or metrorrhagia
,N92.4,,,폐경 월경과다 또는 부정자궁출혈,Menopausal menorrhagia or metrorrhagia
,N92.4,,,갱년기전 월경과다 또는 부정자궁출혈,Preclimacteric menorrhagia or metrorrhagia
,N92.4,,,폐경전 월경과다 또는 부정자궁출혈,Premenopausal menorrhagia or metrorrhagia
세,N92.5,,,기타 명시된 불규칙월경,Other specified irregular menstruation
세,N92.6,,,상세불명의  불규칙월경,"Irregular menstruation, unspecified"
,N92.6,,,불규칙출혈 NOS,Irregular bleeding NOS
,N92.6,,,불규칙월경주기 NOS,Irregular periods NOS
소,N93,,,기타 이상 자궁 및 질 출혈,Other abnormal uterine and vaginal bleeding
세,N93.0,,,성교후 및 접촉 출혈,Postcoital and contact bleeding
세,N93.8,,,기타 명시된 이상 자궁 및 질 출혈,Other specified abnormal uterine and vaginal bleeding
,N93.8,,,기능장애성 또는 기능성 자궁 또는 질 출혈 NOS,Dysfunctional or functional uterine or vaginal bleeding NOS
세,N93.9,,,상세불명의 이상 자궁 및 질 출혈,"Abnormal uterine and vaginal bleeding, unspecified"
,N93.9,,,붕루(崩漏),Flooding and spotting
소,N94,,,여성생식기관 및 월경주기와 관련된 통증 및 기타 병태,Pain and other conditions associated with female genital organs and menstrual cycle
세,N94.0,,,배란통,Mittelschmerz
세,N94.1,,,성교통,Dyspareunia
세,N94.2,,,질경련,Vaginismus
세,N94.3,,,월경전긴장증후군,Premenstrual tension syndrome
세,N94.4,,,원발성 월경통,Primary dysmenorrhoea
세,N94.5,,,이차성 월경통,Secondary dysmenorrhoea
세,N94.6,,,상세불명의 월경통,"Dysmenorrhoea, unspecified"
세,N94.8,,,여성생식기관 및 월경주기와 관련된 기타 명시된 병태,Other specified conditions associated with female genital organs and menstrual cycle
세,N94.9,,,여성생식기관 및 월경주기와 관련된 상세불명의 병태,Unspecified condition associated with female genital organs and menstrual cycle
소,N95,,,폐경 및 기타 폐경전후 장애,Menopausal and other perimenopausal disorders
세,N95.0,,,폐경후출혈,Postmenopausal bleeding
세,N95.1,,,폐경 및 여성의 갱년기상태,Menopausal and female climacteric states
,N95.1,,,"폐경과 관련된, 홍조, 불면, 두통, 집중력 부족 등과 같은 증상","Symptoms such as flushing, sleeplessness, headache, lack of concentration, associated with menopause"
세,N95.2,,,폐경후 위축성 질염,Postmenopausal atrophic vaginitis
,N95.2,,,노년성 (위축성) 질염,Senile (atrophic) vaginitis
세,N95.3,,,인공폐경과 관련된 상태,States associated with artificial menopause
,N95.3,,,인공폐경후증후군,Post-artificial-menopause syndrome
세,N95.8,,,기타 명시된 폐경 및 폐경전후 장애,Other specified menopausal and perimenopausal disorders
세,N95.9,,,상세불명의 폐경 및 폐경전후 장애,"Menopausal and perimenopausal disorder, unspecified"
소,N96,,,습관적 유산자,Habitual aborter
,N96,,,비임신여성의 검사 또는 관리,Investigation or care in a nonpregnant woman
,N96,,,상대적 불임,Relative infertility
소,N97,,,여성불임,Female infertility
세,N97.0,,,무배란과 관련된 여성불임,Female infertility associated with anovulation
세,N97.1,,,난관에서 기원한 여성불임,Female infertility of tubal origin
,N97.1,,,난관의 선천이상과 관련된 경우,Associated with congenital anomaly of tube
,N97.1,,,난관의 차단,Tubal block
,N97.1,,,난관의 폐쇄,Tubal occlusion
,N97.1,,,난관의 협착,Tubal stenosis
세,N97.2,,,자궁에서 기원한 여성불임,Female infertility of uterine origin
,N97.2,,,자궁의 선천이상과 관련된 경우,Associated with congenital anomaly of uterus
,N97.2,,,난자의 비착상,Nonimplantation of ovum
세,N97.3,,,자궁경부에서 기원한 여성불임,Female infertility of cervical origin
세,N97.4,,,남성요인과 관련된 여성불임,Female infertility associated with male factors
세,N97.8,,,기타 요인에서 기원한 여성불임,Female infertility of other origin
세,N97.9,,,상세불명의 여성불임,"Female infertility, unspecified"
소,N98,,,인공수정과 관련된 합병증,Complications associated with artificial fertilization
세,N98.0,,,인공정액주입과 관련된 감염,Infection associated with artificial insemination
세,N98.1,,,난소의 과다자극,Hyperstimulation of ovaries
,N98.1,,,난소의 과다자극 NOS,Hyperstimulation of ovaries NOS
,N98.1,,,유도배란과 관련된 난소의 과다자극,Hyperstimulation of ovaries associated with induced ovulation
세,N98.2,,,체외수정후 수정란의 자궁내이식의 합병증,Complications of attempted introduction of fertilized ovum following in vitro fertilization
세,N98.3,,,배아이식에서 배아의 자궁내이식의 합병증,Complications of attempted introduction of embryo in embryo transfer
세,N98.8,,,인공수정과 관련된 기타 합병증,Other complications associated with artificial fertilization
,N98.8,,,기증자에 의한 인공정액주입의 합병증,Complications of artificial insemination by donor
,N98.8,,,남편에 의한 인공정액주입의 합병증,Complications of artificial insemination by husband
세,N98.9,,,인공수정과 관련된 상세불명의 합병증,"Complication associated with artificial fertilization, unspecified"
중,N99,,,비뇨생식계통의 기타 장애(N99),Other disorders of the genitourinary system(N99)
소,N99,,,달리 분류되지 않은 비뇨생식계통의 처치후 장애,"Postprocedural disorders of genitourinary system, NEC"
세,N99.0,,,처치후 신부전,Postprocedural renal failure
세,N99.1,,,처치후 요도협착,Postprocedural urethral stricture
,N99.1,,,카테터삽입후 요도협착,Postcatheterization urethral stricture
세,N99.2,,,질의 수술후 유착,Postoperative adhesions of vagina
세,N99.3,,,자궁적출후 질원개의 탈출,Prolapse of vaginal vault after hysterectomy
세,N99.4,,,처치후 골반복막유착,Postprocedural pelvic peritoneal adhesions
세,N99.5,,,요로의 외부스토마의 기능부전,Malfunction of external stoma of urinary tract
세,N99.8,,,비뇨생식계통의 기타 처치후 장애,Other postprocedural disorders of genitourinary system
,N99.8,,,잔류난소증후군,Residual ovary syndrome
세,N99.9,,,비뇨생식계통의 상세불명의 처치후 장애,"Postprocedural disorder of genitourinary system, unspecified"
소,O00,,,자궁외임신,Ectopic pregnancy
,O00,,,모든 관련 합병증의 분류를 원한다면 O08.- 항목에서 부가분류코드를 사용할 것.,"Use additional code from category O08.-, if desired, to identify any associated complication."
중,O00-O08,,,유산된 임신(O00-O08),Pregnancy with abortive outcome(O00-O08)
대,O00-O99,,,"ⅩⅤ. 임신, 출산 및 산후기(O00-O99)","Pregnancy, childbirth and the puerperium (O00-O99)"
,O00-O99,,,"이 장에 포함된 코드는 임신, 출산 또는 산후기(산모의 원인 또는 산과적 원인)에 관련된 또는 악화된 병태에 사용한다.","The codes included in this chapter are to be used for conditions related to or aggravated by the pregnancy, childbirth or by the puerperium (maternal causes or obstetric causes)"
세,O00.0,,,복강임신,Abdominal pregnancy
세,O00.1,,,난관임신,Tubal pregnancy
,O00.1,,,난관임신,Fallopian pregnancy
,O00.1,,,임신으로 인한 난관파열,Rupture of (fallopian) tube due to pregnancy
,O00.1,,,난관유산,Tubal abortion
세,O00.2,,,난소임신,Ovarian pregnancy
세,O00.8,,,기타 자궁외임신,Other ectopic pregnancy
,O00.8,,,자궁경부 임신,Cervical pregnancy
,O00.8,,,자궁각 임신,Cornual pregnancy
,O00.8,,,인대내 임신,Intraligamentous pregnancy
